Suburb,Mean Price, Mean Increase
SUBURB,Median House Price,Growth Percentage(Last 12 Months),View FullProfile,
Alexander Heights,$452,500,8.40%,
Alfred Cove,$850,000,4.90%,
Alkimos,$418,000,4.50%,
Anketell,$0,0.00%,
Applecross,$1,600,000,1.30%,
Ardross,$1,050,000,11.10%,
Armadale,$272,000,26.50%,
Ascot,$824,000,32.90%,
Ashby,$484,500,7.70%,
Ashfield,$500,000,21.40%,
Attadale,$1,295,000,21.60%,
Atwell,$540,000,10.80%,
Aubin Grove,$563,500,10.00%,
Aveley,$441,000,5.00%,
Bailup,$0,0.00%,
Balcatta,$508,000,6.90%,
Baldivis,$420,000,12.00%,
Balga,$335,000,11.70%,
Ballajura,$449,500,13.50%,
Banjup,$0,0.00%,
Banksia Grove,$425,000,19.00%,
Baskerville,$793,500,0.00%,
Bassendean,$570,000,18.80%,
Bateman,$813,000,7.60%,
Bayswater,$628,000,14.00%,
Beaconsfield,$797,500,16.40%,
Beckenham,$408,500,7.50%,
Bedford,$682,000,7.40%,
Bedfordale,$832,500,6.70%,
Beechboro,$399,000,16.20%,
Beechina,$0,0.00%,
Beeliar,$535,000,9.20%,
Beldon,$532,250,18.90%,
Belhus,$0,0.00%,
Bellevue,$338,500,15.70%,
Belmont,$490,000,16.90%,
Bennett Springs,$475,000,3.30%,
Bentley,$450,000,4.70%,
Bertram,$386,000,15.20%,
Bibra Lake,$550,000,5.80%,
Bickley,$640,000,-12.20%,
Bicton,$1,210,500,36.40%,
Booragoon,$910,000,8.30%,
Boya,$762,500,30.80%,
Brabham,$430,000,4.60%,
Brentwood,$680,000,18.20%,
Brigadoon,$0,0.00%,
Brookdale,$313,500,26.40%,
Bull Creek,$812,500,10.50%,
Bullsbrook,$385,000,13.20%,
Burns Beach,$900,000,1.70%,
Burswood,$834,000,-13.70%,
Bushmead,$663,500,7.20%,
Butler,$395,000,8.40%,
Byford,$425,000,11.80%,
Calista,$288,000,11.60%,
Camillo,$285,000,18.80%,
Canning Mills,$0,0.00%,
Canning Vale,$595,000,8.20%,
Cannington,$415,000,17.20%,
Carabooda,$0,0.00%,
Cardup,$619,500,3.20%,
Carine,$865,000,9.80%,
Carlisle,$550,000,22.20%,
Carmel,$700,000,19.70%,
Carramar,$542,500,10.70%,
Casuarina,$865,000,41.80%,
Caversham,$512,500,17.80%,
Challenger,$0,0.00%,
Champion Lakes,$435,000,-1.10%,
Chidlow,$425,000,2.90%,
Churchlands,$1,510,000,13.50%,
City Beach,$2,250,000,34.30%,
Claremont,$1,785,000,37.30%,
Clarence,$0,0.00%,
Clarkson,$410,000,13.90%,
Cloverdale,$440,500,10.10%,
Cockburn Central,$508,750,11.90%,
Como,$965,000,11.90%,
Connolly,$745,000,12.90%,
Coogee,$833,000,7.50%,
Coolbellup,$490,000,18.50%,
Coolbinia,$1,300,000,10.60%,
Cooloongup,$330,000,26.90%,
Cottesloe,$2,570,000,33.20%,
Craigie,$480,000,17.10%,
Crawley,$1,250,000,8.70%,
Currambine,$626,500,19.30%,
Daglish,$1,370,000,50.50%,
Dalkeith,$2,950,000,26.90%,
Darch,$580,000,12.10%,
Darling Downs,$611,250,44.80%,
Darlington,$760,000,23.60%,
Dayton,$441,250,13.10%,
Dianella,$660,000,15.80%,
Doubleview,$795,500,15.30%,
Duncraig,$760,500,11.80%,
East Cannington,$452,500,5.20%,
East Fremantle,$1,295,000,10.20%,
East Perth,$1,235,000,3.80%,
East Rockingham,$0,0.00%,
East Victoria Park,$680,000,16.20%,
Eden Hill,$440,000,10.60%,
Edgewater,$565,000,15.30%,
Eglinton,$432,000,16.80%,
Ellenbrook,$420,000,17.00%,
Embleton,$555,000,23.30%,
Ferndale,$450,000,12.50%,
Floreat,$1,630,000,8.70%,
Forrestdale,$468,000,-24.50%,
Forrestfield,$447,500,17.80%,
Fremantle,$890,000,12.30%,
Gidgegannup,$0,0.00%,
Girrawheen,$360,000,24.10%,
Glen Forrest,$615,000,11.80%,
Glendalough,$526,000,25.20%,
Gnangara,$395,750,0.00%,
Golden Bay,$380,000,15.20%,
Gooseberry Hill,$780,000,14.70%,
Gosnells,$320,000,14.30%,
Greenmount,$482,500,8.40%,
Greenwood,$570,000,17.50%,
Guildford,$786,500,10.90%,
Gwelup,$872,500,6.10%,
Hacketts Gully,$0,0.00%,
Hamersley,$540,000,5.90%,
Hamilton Hill,$530,000,19.10%,
Hammond Park,$490,000,3.20%,
Harrisdale,$533,500,9.80%,
Haynes,$397,000,4.10%,
Hazelmere,$620,000,18.10%,
Heathridge,$507,000,15.20%,
Helena Valley,$595,000,10.70%,
Henderson,$0,0.00%,
Henley Brook,$630,000,30.00%,
Herdsman,$0,0.00%,
Herne Hill,$412,500,-12.20%,
High Wycombe,$452,500,7.70%,
Highgate,$922,500,45.30%,
Hilbert,$397,000,17.10%,
Hillarys,$922,500,23.00%,
Hillman,$305,000,38.60%,
Hilton,$606,000,9.70%,
Hocking,$520,000,11.10%,
Hollywood,$0,0.00%,
Hope Valley,$0,0.00%,
Hopeland,$0,0.00%,
Hovea,$515,000,0.00%,
Huntingdale,$402,500,12.10%,
Iluka,$850,000,0.60%,
Inglewood,$881,000,14.60%,
Innaloo,$589,000,9.10%,
Jandabup,$0,0.00%,
Jandakot,$659,000,9.60%,
Jane Brook,$522,500,1.50%,
Jarrahdale,$410,000,-4.10%,
Jindalee,$610,000,10.90%,
Jolimont,$1,270,000,-9.50%,
Joondalup,$552,500,13.90%,
Joondanna,$725,000,9.00%,
Kalamunda,$635,000,3.50%,
Kallaroo,$750,000,7.50%,
Karawara,$595,000,-10.40%,
Kardinya,$690,000,12.10%,
Karnup,$385,000,6.40%,
Karragullen,$558,000,-8.50%,
Karrakup,$0,0.00%,
Karrinyup,$917,500,9.60%,
Kelmscott,$346,000,8.10%,
Kensington,$915,000,-1.00%,
Kenwick,$353,500,19.20%,
Kewdale,$480,000,10.30%,
Keysbrook,$0,0.00%,
Kiara,$430,000,14.70%,
Kingsley,$636,250,12.60%,
Kinross,$530,000,12.50%,
Koondoola,$350,000,16.70%,
Koongamia,$303,500,12.40%,
Kwinana,$0,0.00%,
Kwinana Beach,$0,0.00%,
Kwinana Town Centre,$303,000,12.20%,
Lake Coogee,$582,500,8.50%,
Landsdale,$590,000,10.30%,
Langford,$350,000,9.40%,
Lathlain,$782,000,17.60%,
Leda,$320,000,18.70%,
Leederville,$912,500,2.50%,
Leeming,$752,000,9.20%,
Lesmurdie,$627,500,14.10%,
Lexia,$0,0.00%,
Lockridge,$310,000,24.00%,
Lynwood,$435,000,11.50%,
Maddington,$350,000,25.00%,
Madeley,$610,000,5.20%,
Mahogany Creek,$598,250,9.80%,
Maida Vale,$528,750,11.30%,
Malaga,$0,0.00%,
Mandogalup,$602,000,0.00%,
Manning,$760,000,4.80%,
Marangaroo,$460,000,24.30%,
Mardella,$670,000,11.70%,
Mariginiup,$809,250,14.00%,
Marmion,$1,050,000,20.00%,
Martin,$434,000,49.70%,
Maylands,$715,000,7.10%,
Medina,$273,250,30.10%,
Melville,$870,000,1.20%,
Menora,$1,225,000,6.10%,
Merriwa,$360,000,20.00%,
Middle Swan,$335,000,14.70%,
Midland,$315,000,9.80%,
Midvale,$326,875,9.00%,
Millendon,$0,0.00%,
Mindarie,$760,000,4.10%,
Mirrabooka,$377,500,21.00%,
Morley,$510,000,10.90%,
Mosman Park,$1,637,500,14.70%,
Mount Claremont,$1,455,000,8.20%,
Mount Hawthorn,$1,000,000,13.60%,
Mount Helena,$540,000,14.30%,
Mount Lawley,$1,100,000,14.80%,
Mount Nasura,$470,000,10.60%,
Mount Pleasant,$1,360,000,12.40%,
Mount Richon,$485,000,-2.00%,
Mullaloo,$803,000,22.10%,
Mundaring,$610,000,23.20%,
Mundijong,$430,000,9.70%,
Munster,$0,0.00%,
Murdoch,$722,500,6.30%,
Myaree,$742,500,16.60%,
Naval Base,$803,000,0.00%,
Nedlands,$1,949,750,11.40%,
Neerabup,$0,0.00%,
Nollamara,$400,000,8.10%,
Noranda,$610,000,18.40%,
North Beach,$1,125,000,30.10%,
North Coogee,$1,150,000,4.50%,
North Fremantle,$1,250,000,8.70%,
North Lake,$682,500,10.10%,
North Perth,$931,000,7.00%,
Northbridge,$1,175,000,0.00%,
Nowergup,$585,000,0.00%,
O'Connor,$595,000,6.30%,
Oakford,$845,000,20.70%,
Ocean Reef,$793,000,7.40%,
Oldbury,$0,0.00%,
Orange Grove,$0,0.00%,
Orelia,$290,000,17.20%,
Osborne Park,$519,000,-6.10%,
Padbury,$585,000,13.00%,
Palmyra,$720,000,16.10%,
Parkerville,$605,000,16.90%,
Parkwood,$487,500,16.60%,
Parmelia,$295,000,22.90%,
Paulls Valley,$0,0.00%,
Pearsall,$450,000,4.70%,
Peel Estate,$0,0.00%,
Peppermint Grove,$3,000,000,-16.40%,
Perth,$860,000,6.20%,
Perth Airport,$0,0.00%,
Piara Waters,$545,251,11.70%,
Pickering Brook,$500,000,0.00%,
Piesse Brook,$0,0.00%,
Pinjar,$0,0.00%,
Port Kennedy,$395,000,12.20%,
Postans,$0,0.00%,
Queens Park,$440,000,10.00%,
Quinns Rocks,$535,000,16.80%,
Red Hill,$0,0.00%,
Redcliffe,$467,500,18.40%,
Ridgewood,$416,500,12.60%,
Riverton,$657,500,-0.50%,
Rivervale,$550,000,5.30%,
Rockingham,$430,000,14.70%,
Roleystone,$602,500,15.90%,
Rossmoyne,$1,270,063,11.40%,
Safety Bay,$409,500,2.40%,
Salter Point,$1,352,500,28.90%,
Samson,$610,000,7.40%,
Sawyers Valley,$595,000,-0.80%,
Scarborough,$791,250,6.90%,
Secret Harbour,$480,000,8.50%,
Serpentine,$650,000,1.90%,
Seville Grove,$350,000,11.10%,
Shelley,$880,666,2.40%,
Shenton Park,$1,520,000,24.50%,
Shoalwater,$475,000,10.90%,
Sinagra,$460,000,3.40%,
Singleton,$470,750,12.40%,
Sorrento,$1,150,000,25.70%,
South Fremantle,$1,200,000,15.70%,
South Guildford,$610,000,25.80%,
South Lake,$435,000,12.70%,
South Perth,$1,470,000,17.60%,
Southern River,$577,000,6.90%,
Spearwood,$507,500,18.00%,
St James,$577,500,22.10%,
Stirling,$849,000,16.30%,
Stoneville,$572,500,24.90%,
Stratton,$345,000,29.70%,
Subiaco,$1,405,000,14.20%,
Success,$532,500,11.90%,
Swan View,$395,500,13.00%,
Swanbourne,$1,857,500,23.80%,
Tamala Park,$0,0.00%,
Tapping,$535,000,11.50%,
The Lakes,$0,0.00%,
The Spectacles,$0,0.00%,
The Vines,$721,000,14.50%,
Thornlie,$410,000,13.90%,
Treeby,$535,000,5.50%,
Trigg,$1,500,000,30.40%,
Tuart Hill,$582,500,12.00%,
Two Rocks,$400,000,8.10%,
Upper Swan,$540,000,9.10%,
Victoria Park,$700,000,9.60%,
Viveash,$433,750,0.30%,
Waikiki,$368,000,5.10%,
Walliston,$525,000,14.10%,
Wandi,$495,000,5.30%,
Wangara,$0,0.00%,
Wanneroo,$445,000,17.10%,
Warnbro,$350,000,11.10%,
Warwick,$584,000,13.40%,
Waterford,$1,180,000,29.70%,
Watermans Bay,$1,291,000,50.10%,
Wattle Grove,$550,000,7.80%,
Wattleup,$1,050,000,144.20%,
Wellard,$418,750,10.20%,
Welshpool,$0,0.00%,
Wembley,$1,250,000,22.20%,
Wembley Downs,$1,198,000,22.90%,
West Leederville,$1,175,000,7.30%,
West Perth,$860,000,16.60%,
West Swan,$815,000,27.30%,
Westminster,$379,000,14.80%,
Whitby,$390,000,14.70%,
White Gum Valley,$825,000,16.20%,
Whiteman,$0,0.00%,
Wilbinga,$0,0.00%,
Willagee,$600,000,13.70%,
Willetton,$777,000,13.90%,
Wilson,$570,000,6.50%,
Winthrop,$920,000,7.00%,
Woodbridge,$586,500,22.20%,
Woodlands,$1,143,000,24.90%,
Woodvale,$692,500,10.80%,
Wooroloo,$350,000,-13.00%,
Wungong,$230,000,0.00%,
Yanchep,$435,000,17.60%,
Yangebup,$485,000,17.30%,
Yokine,$685,000,15.20%,
