Suburb,Mean Price,12 Month Growth
Alexander Heights,$452500,8.40%
Alfred Cove,$850000,4.90%
Alkimos,$418000,4.50%
Applecross,$1600000,1.30%
Ardross,$1050000,11.10%
Armadale,$273500,27.20%
Ascot,$820000,32.30%
Ashby,$484500,7.70%
Ashfield,$500000,21.40%
Attadale,$1295000,21.60%
Atwell,$544000,11.60%
Aubin Grove,$563500,10.00%
Aveley,$441000,5.00%
Balcatta,$508000,6.90%
Baldivis,$420000,12.00%
Balga,$335000,11.70%
Ballajura,$450000,13.60%
Banksia Grove,$425000,19.00%
Baskerville,$793500,0.00%
Bassendean,$570000,18.80%
Bateman,$813000,7.60%
Bayswater,$628000,14.00%
Beaconsfield,$800000,16.80%
Beckenham,$408500,7.50%
Bedford,$682000,7.40%
Bedfordale,$832500,6.70%
Beechboro,$399500,16.30%
Beeliar,$535000,9.20%
Beldon,$532250,18.90%
Bellevue,$338500,15.70%
Belmont,$489000,16.70%
Bennett Springs,$475000,3.30%
Bentley,$450000,4.70%
Bertram,$386000,15.20%
Bibra Lake,$550000,5.80%
Bickley,$640000,-12.20%
Bicton,$1210500,36.40%
Booragoon,$910000,8.30%
Boya,$762500,30.80%
Brabham,$430000,4.60%
Brentwood,$680000,18.20%
Brookdale,$313500,26.40%
Bull Creek,$815000,10.90%
Bullsbrook,$385000,13.20%
Burns Beach,$900000,1.70%
Burswood,$834000,-13.70%
Bushmead,$662000,6.90%
Butler,$395000,8.40%
Byford,$425000,11.80%
Calista,$288000,11.60%
Camillo,$285000,18.80%
Canning Vale,$595000,8.20%
Cannington,$415000,17.20%
Cardup,$619500,3.20%
Carine,$872000,10.70%
Carlisle,$550000,22.20%
Carmel,$700000,19.70%
Carramar,$545000,11.20%
Casuarina,$865000,41.80%
Caversham,$512500,17.80%
Champion Lakes,$435000,-1.10%
Chidlow,$425000,2.90%
Churchlands,$1510000,13.50%
City Beach,$2275000,35.80%
Claremont,$1800000,38.50%
Clarkson,$410000,13.90%
Cloverdale,$440500,10.10%
Cockburn Central,$508750,11.90%
Como,$965000,11.90%
Connolly,$745000,12.90%
Coogee,$833000,7.50%
Coolbellup,$490000,18.50%
Coolbinia,$1300000,10.60%
Cooloongup,$330000,26.90%
Cottesloe,$2560000,32.60%
Craigie,$480000,17.10%
Crawley,$1250000,8.70%
Currambine,$622500,18.60%
Daglish,$1367500,50.30%
Dalkeith,$2950000,26.90%
Darch,$580000,12.10%
Darling Downs,$611250,44.80%
Darlington,$760000,23.60%
Dayton,$441250,13.10%
Dianella,$660000,15.80%
Doubleview,$795500,15.30%
Duncraig,$761000,11.90%
East Cannington,$452500,5.20%
East Fremantle,$1295000,10.20%
East Perth,$1235000,3.80%
East Victoria Park,$680000,16.20%
Eden Hill,$440000,10.60%
Edgewater,$565000,15.30%
Eglinton,$432000,16.80%
Ellenbrook,$420000,17.00%
Embleton,$555000,23.30%
Ferndale,$450000,12.50%
Floreat,$1635000,9.20%
Forrestdale,$468000,-24.50%
Forrestfield,$447500,17.80%
Fremantle,$890000,12.30%
Girrawheen,$360000,24.10%
Glen Forrest,$615000,11.80%
Glendalough,$526000,25.20%
Gnangara,$395750,0.00%
Golden Bay,$382500,15.90%
Gooseberry Hill,$780000,14.70%
Gosnells,$320000,14.30%
Greenmount,$482500,8.40%
Greenwood,$570000,17.50%
Guildford,$786500,10.90%
Gwelup,$880000,7.00%
Hamersley,$540000,5.90%
Hamilton Hill,$532500,19.70%
Hammond Park,$490000,3.20%
Harrisdale,$532000,9.50%
Haynes,$397000,4.10%
Hazelmere,$620000,18.10%
Heathridge,$507000,15.20%
Helena Valley,$595000,10.70%
Henley Brook,$636250,31.30%
Herne Hill,$412500,-12.20%
High Wycombe,$452500,7.70%
Highgate,$922500,45.30%
Hilbert,$396500,17.00%
Hillarys,$922000,22.90%
Hillman,$305000,38.60%
Hilton,$606000,9.70%
Hocking,$520000,11.10%
Hovea,$515000,0.00%
Huntingdale,$402500,12.10%
Iluka,$850000,0.60%
Inglewood,$881000,14.60%
Innaloo,$589000,9.10%
Jandakot,$659000,9.60%
Jane Brook,$522500,1.50%
Jarrahdale,$410000,-4.10%
Jindalee,$610000,10.90%
Jolimont,$1270000,-9.50%
Joondalup,$552500,13.90%
Joondanna,$725000,9.00%
Kalamunda,$645000,5.10%
Kallaroo,$750000,7.50%
Karawara,$595000,-10.40%
Kardinya,$690000,12.10%
Karnup,$385000,6.40%
Karragullen,$558000,-8.50%
Karrinyup,$917500,9.60%
Kelmscott,$350000,9.40%
Kensington,$915000,-1.00%
Kenwick,$353500,19.20%
Kewdale,$480000,10.30%
Kiara,$430000,14.70%
Kingsley,$636250,12.60%
Kinross,$530000,12.50%
Koondoola,$350000,16.70%
Koongamia,$303500,12.40%
Kwinana Town Centre,$303000,12.20%
Lake Coogee,$582500,8.50%
Landsdale,$590000,10.30%
Langford,$350000,9.40%
Lathlain,$782000,17.60%
Leda,$320000,18.70%
Leederville,$912500,2.50%
Leeming,$756000,9.80%
Lesmurdie,$627500,14.10%
Lockridge,$310000,24.00%
Lynwood,$435000,11.50%
Maddington,$350000,25.00%
Madeley,$610000,5.20%
Mahogany Creek,$598250,9.80%
Maida Vale,$528750,11.30%
Mandogalup,$602000,0.00%
Manning,$755000,4.10%
Marangaroo,$455000,23.00%
Mardella,$670000,11.70%
Mariginiup,$809250,14.00%
Marmion,$1050000,20.00%
Martin,$450000,55.20%
Maylands,$715000,7.10%
Medina,$273250,30.10%
Melville,$870000,1.20%
Menora,$1225000,6.10%
Merriwa,$360000,20.00%
Middle Swan,$335000,14.70%
Midland,$315000,9.80%
Midvale,$326875,9.00%
Mindarie,$760000,4.10%
Mirrabooka,$377500,21.00%
Morley,$510000,10.90%
Mosman Park,$1637500,14.70%
Mount Claremont,$1457500,8.40%
Mount Hawthorn,$1000000,13.60%
Mount Helena,$540000,14.30%
Mount Lawley,$1100000,14.80%
Mount Nasura,$470000,10.60%
Mount Pleasant,$1360000,12.40%
Mount Richon,$485000,-2.00%
Mullaloo,$803000,22.10%
Mundaring,$610000,23.20%
Mundijong,$430000,9.70%
Murdoch,$722500,6.30%
Myaree,$735000,15.40%
Naval Base,$803000,0.00%
Nedlands,$1960000,12.00%
Nollamara,$400000,8.10%
Noranda,$610000,18.40%
North Beach,$1087500,25.70%
North Coogee,$1150000,4.50%
North Fremantle,$1250000,8.70%
North Lake,$682500,10.10%
North Perth,$931000,7.00%
Northbridge,$1175000,0.00%
Nowergup,$585000,0.00%
O'Connor,$595000,6.30%
Oakford,$845000,20.70%
Ocean Reef,$796000,7.80%
Orelia,$290000,17.20%
Osborne Park,$519000,-6.10%
Padbury,$585000,13.00%
Palmyra,$720000,16.10%
Parkerville,$605000,16.90%
Parkwood,$485000,16.00%
Parmelia,$295000,22.90%
Pearsall,$450000,4.70%
Peppermint Grove,$3012500,-16.10%
Perth,$860000,6.20%
Piara Waters,$545251,11.70%
Pickering Brook,$500000,0.00%
Port Kennedy,$395000,12.20%
Queens Park,$440000,10.00%
Quinns Rocks,$535000,16.80%
Redcliffe,$467500,18.40%
Ridgewood,$416500,12.60%
Riverton,$659000,-0.30%
Rivervale,$550000,5.30%
Rockingham,$430000,14.70%
Roleystone,$605000,16.30%
Rossmoyne,$1275125,11.90%
Safety Bay,$410000,2.50%
Salter Point,$1352500,28.90%
Samson,$610000,7.40%
Sawyers Valley,$595000,-0.80%
Scarborough,$791250,6.90%
Secret Harbour,$480000,8.50%
Serpentine,$650000,1.90%
Seville Grove,$350000,11.10%
Shelley,$890333,3.50%
Shenton Park,$1520000,24.50%
Shoalwater,$475000,10.90%
Sinagra,$460000,3.40%
Singleton,$470750,12.40%
Sorrento,$1150000,25.70%
South Fremantle,$1200000,15.70%
South Guildford,$610000,25.80%
South Lake,$435000,12.70%
South Perth,$1470000,17.60%
Southern River,$576000,6.70%
Spearwood,$505000,17.40%
St James,$577500,22.10%
Stirling,$849500,16.40%
Stoneville,$572500,24.90%
Stratton,$345000,29.70%
Subiaco,$1400000,13.80%
Success,$531250,11.60%
Swan View,$395500,13.00%
Swanbourne,$1857500,23.80%
Tapping,$535000,11.50%
The Vines,$721000,14.50%
Thornlie,$410000,13.90%
Treeby,$535000,5.50%
Trigg,$1500000,30.40%
Tuart Hill,$585000,12.50%
Two Rocks,$400000,8.10%
Upper Swan,$540000,9.10%
Victoria Park,$700000,9.60%
Viveash,$433750,0.30%
Waikiki,$368000,5.10%
Walliston,$525000,14.10%
Wandi,$495000,5.30%
Wanneroo,$445000,17.10%
Warnbro,$350000,11.10%
Warwick,$584000,13.40%
Waterford,$1180000,29.70%
Watermans Bay,$1291000,50.10%
Wattle Grove,$550000,7.80%
Wattleup,$1050000,144.20%
Wellard,$419000,10.30%
Wembley,$1250000,22.20%
Wembley Downs,$1199000,23.00%
West Leederville,$1200000,9.60%
West Perth,$830000,12.50%
West Swan,$815000,27.30%
Westminster,$379000,14.80%
Whitby,$390000,14.70%
White Gum Valley,$825000,16.20%
Willagee,$600000,13.70%
Willetton,$777000,13.90%
Wilson,$570000,6.50%
Winthrop,$920000,7.00%
Woodbridge,$586500,22.20%
Woodlands,$1151500,25.80%
Woodvale,$692500,10.80%
Wooroloo,$350000,-13.00%
Wungong,$230000,0.00%
Yanchep,$435000,17.60%
Yangebup,$485000,17.30%
Yokine,$685000,15.20%
Alexander Heights,$452500,8.40%
Alfred Cove,$850000,4.90%
Alkimos,$418000,4.50%
Applecross,$1600000,1.30%
Ardross,$1050000,11.10%
Armadale,$273500,27.20%
Ascot,$820000,32.30%
Ashby,$484500,7.70%
Ashfield,$500000,21.40%
Attadale,$1295000,21.60%
Atwell,$544000,11.60%
Aubin Grove,$563500,10.00%
Aveley,$441000,5.00%
Balcatta,$508000,6.90%
Baldivis,$420000,12.00%
Balga,$335000,11.70%
Ballajura,$450000,13.60%
Banksia Grove,$425000,19.00%
Baskerville,$793500,0.00%
Bassendean,$570000,18.80%
Bateman,$813000,7.60%
Bayswater,$628000,14.00%
Beaconsfield,$800000,16.80%
Beckenham,$408500,7.50%
Bedford,$682000,7.40%
Bedfordale,$832500,6.70%
Beechboro,$399500,16.30%
Beeliar,$535000,9.20%
Beldon,$532250,18.90%
Bellevue,$338500,15.70%
Belmont,$489000,16.70%
Bennett Springs,$475000,3.30%
Bentley,$450000,4.70%
Bertram,$386000,15.20%
Bibra Lake,$550000,5.80%
Bickley,$640000,-12.20%
Bicton,$1210500,36.40%
Booragoon,$910000,8.30%
Boya,$762500,30.80%
Brabham,$430000,4.60%
Brentwood,$680000,18.20%
Brookdale,$313500,26.40%
Bull Creek,$815000,10.90%
Bullsbrook,$385000,13.20%
Burns Beach,$900000,1.70%
Burswood,$834000,-13.70%
Bushmead,$662000,6.90%
Butler,$395000,8.40%
Byford,$425000,11.80%
Calista,$288000,11.60%
Camillo,$285000,18.80%
Canning Vale,$595000,8.20%
Cannington,$415000,17.20%
Cardup,$619500,3.20%
Carine,$872000,10.70%
Carlisle,$550000,22.20%
Carmel,$700000,19.70%
Carramar,$545000,11.20%
Casuarina,$865000,41.80%
Caversham,$512500,17.80%
Champion Lakes,$435000,-1.10%
Chidlow,$425000,2.90%
Churchlands,$1510000,13.50%
City Beach,$2275000,35.80%
Claremont,$1800000,38.50%
Clarkson,$410000,13.90%
Cloverdale,$440500,10.10%
Cockburn Central,$508750,11.90%
Como,$965000,11.90%
Connolly,$745000,12.90%
Coogee,$833000,7.50%
Coolbellup,$490000,18.50%
Coolbinia,$1300000,10.60%
Cooloongup,$330000,26.90%
Cottesloe,$2560000,32.60%
Craigie,$480000,17.10%
Crawley,$1250000,8.70%
Currambine,$622500,18.60%
Daglish,$1367500,50.30%
Dalkeith,$2950000,26.90%
Darch,$580000,12.10%
Darling Downs,$611250,44.80%
Darlington,$760000,23.60%
Dayton,$441250,13.10%
Dianella,$660000,15.80%
Doubleview,$795500,15.30%
Duncraig,$761000,11.90%
East Cannington,$452500,5.20%
East Fremantle,$1295000,10.20%
East Perth,$1235000,3.80%
East Victoria Park,$680000,16.20%
Eden Hill,$440000,10.60%
Edgewater,$565000,15.30%
Eglinton,$432000,16.80%
Ellenbrook,$420000,17.00%
Embleton,$555000,23.30%
Ferndale,$450000,12.50%
Floreat,$1635000,9.20%
Forrestdale,$468000,-24.50%
Forrestfield,$447500,17.80%
Fremantle,$890000,12.30%
Girrawheen,$360000,24.10%
Glen Forrest,$615000,11.80%
Glendalough,$526000,25.20%
Gnangara,$395750,0.00%
Golden Bay,$382500,15.90%
Gooseberry Hill,$780000,14.70%
Gosnells,$320000,14.30%
Greenmount,$482500,8.40%
Greenwood,$570000,17.50%
Guildford,$786500,10.90%
Gwelup,$880000,7.00%
Hamersley,$540000,5.90%
Hamilton Hill,$532500,19.70%
Hammond Park,$490000,3.20%
Harrisdale,$532000,9.50%
Haynes,$397000,4.10%
Hazelmere,$620000,18.10%
Heathridge,$507000,15.20%
Helena Valley,$595000,10.70%
Henley Brook,$636250,31.30%
Herne Hill,$412500,-12.20%
High Wycombe,$452500,7.70%
Highgate,$922500,45.30%
